Year;Birds_CR;Fish_CR;Birds_ER;Fish_ER;Birds_VU;Fish_VU
1998;168;157;235;134;704;443
2000;182;156;321;144;680;452
2002;182;157;326;143;684;442
2003;182;162;331;144;681;444
2004;179;171;345;160;688;470
2006;181;253;351;237;674;681
2007;189;254;356;254;672;693
2008;190;289;361;269;671;717
2009;192;306;362;298;669;810
2010;190;376;372;400;678;1075
2011;189;414;382;477;682;1137
2012;197;415;389;494;727;1149
2013;198;413;397;530;713;1167
2014;213;443;419;587;741;1192
2015;218;446;416;614;741;1211
2016;225;461;448;660;787;1238
2017;222;468;461;676;786;1242
2018;224;486;469;674;799;1172
2019;225;592;461;868;800;1214
2020;223;666;460;1036;798;1338
2021;225;739;447;1139;773;1454
