Merkmal;Wirbeltiere;Wirbellose;Pflanzen;Andere
2021;10119;5653;22503;268
2020;9677;5489;20360;239
2019;9013;5221;15774;170
2018;8442;5040;13299;59
2017;8374;4893;12505;49
2016;8160;4470;11643;34
2015;7781;4201;11233;35
2014;7678;4140;10584;11
2013;7390;3822;10065;35
2012;7250;3570;9390;9
2011;7108;3297;9156;9
2010;6714;2904;8724;9
2009;6143;2639;8500;9
2008;5966;2496;8457;9
2007;5742;2109;8448;9
2006;5622;2102;8390;3
2004;5188;1992;8321;2
2003;3524;1959;6774;2
2002;3521;1932;5714;0
2000;3507;1928;5611;0
